geo,start_year,end_year,pop_start_0_29,pop_end_30_59,deaths,migration,migration_pct
CH,1976,2006,2836696,3299573,104913,567790,20.015891727559104
AT,1987,2017,3229205,3773132,108668,652595,20.20915364617607
SE,1987,2017,3236668,3813402,81193,657927,20.32729337701612
ES,1988,2018,17923510,21041441,573601,3691532,20.59603280830596
BE,1993,2023,3950947,4643985,125096,818134,20.70728865763069
SE,1988,2018,3241449,3858952,79826,697329,21.51287896246401
AT,1988,2018,3197530,3785059,106108,693637,21.692900457540667
BE,1994,2024,3920248,4651868,121583,853203,21.764005746575215
ES,1989,2019,17724889,21041748,557672,3874531,21.859268060860636
IS,1994,2024,128577,153819,2993,28235,21.95960397271674
AT,1992,2022,3193646,3806778,95936,709068,22.202460761148856
SE,1989,2019,3259902,3911251,78797,730146,22.397789872210883
AT,1989,2019,3178752,3794808,103882,719938,22.648448196021583
AT,1991,2021,3182471,3806215,98482,722226,22.693875293757586
SE,1990,2020,3292879,3962707,77811,747639,22.70472130922515
BE,1995,2025,3883410,4649467,117864,883921,22.761464795115632
AT,1990,2020,3178279,3801715,101094,724530,22.796299506745633
SE,1991,2021,3328008,4010386,77170,759548,22.822901868024356
AT,1993,2023,3198049,3836630,93150,731731,22.880543731506304
CH,1977,2007,2775991,3308229,102967,635205,22.882098681155664
SE,1992,2022,3353395,4063147,76427,786179,23.44427065705054
ES,1990,2020,17506761,21088385,539693,4121317,23.541287848734555
AT,1994,2024,3172723,3833839,89962,751078,23.672977439253284
IS,1993,2023,128555,156080,2920,30445,23.682470537902063
SE,1995,2025,3396701,4146500,73424,823223,24.235957183160956
SE,1993,2023,3372033,4115245,75661,818873,24.284252259690223
SE,1994,2024,3386663,4138988,74953,827278,24.42752644712509
ES,1991,2021,17260130,21032685,523562,4296117,24.890409284286967
AT,1995,2025,3126397,3820860,87107,781570,24.99906441824247
IS,1995,2025,127996,157087,2996,32087,25.068752148504643
ES,1992,2022,17117284,20922460,506763,4311939,25.19055593165364
CH,1978,2008,2737549,3335219,100977,698647,25.520894785810228
ES,1993,2023,16985476,21062968,489594,4567086,26.888183763587197
CH,1979,2009,2705736,3374358,98939,767561,28.367919117016587
ES,1994,2024,16817486,21155442,471482,4809438,28.597841556104164
ES,1995,2025,16601012,21187924,451630,5038542,30.35081234806649
CH,1980,2010,2684707,3405410,97084,817787,30.460940430370986
CH,1981,2011,2674806,3431861,95308,852363,31.866348437980175
LI,1994,2024,13031,16912,342,4223,32.407336351776536
CH,1982,2012,2673249,3470208,93800,890759,33.32121325024343
CH,1983,2013,2668432,3508565,92313,932446,34.94359234186968
LI,1995,2025,12850,17057,335,4542,35.34630350194553
CH,1984,2014,2653729,3552491,90714,989476,37.28624889730639
CH,1985,2015,2644369,3595106,89083,1039820,39.3220462045955
CH,1986,2016,2634147,3630957,87102,1083912,41.148500823985906
CH,1987,2017,2629512,3660201,84980,1115669,42.428747235228435
CH,1988,2018,2625758,3680372,82919,1137533,43.32208070964651
CH,1992,2022,2669246,3760508,73354,1164616,43.63089801389606
CH,1989,2019,2627969,3701506,80641,1154178,43.91901122121303
CH,1993,2023,2676436,3783332,70980,1177876,44.00912257943026
CH,1991,2021,2648984,3743816,75630,1170462,44.185317842614374
CH,1990,2020,2629343,3720338,78035,1169030,44.46091666245142
CH,1994,2024,2672019,3828596,68321,1224898,45.841665048040454
DE,1985,2015,24235284,34449184,1108171,11322071,46.71730275576717
CH,1995,2025,2657854,3844304,65758,1252208,47.113498333618026
DE,1990,2020,23841466,34414854,994925,11568313,48.52181908612499
DE,1986,2016,24016271,34626801,1089401,11699931,48.716684617691065
DE,1987,2017,23873314,34568444,1069262,11764392,49.2784202478131
DE,1989,2019,23533756,34546868,1023763,12036875,51.14727542853763
DE,1988,2018,23493877,34554667,1045425,12106215,51.529234617172804
LU,1987,2017,148500,265747,6418,123665,83.27609427609428
LU,1988,2018,148038,270672,6209,128843,87.03373458166148
LU,1989,2019,147763,276159,6105,134501,91.02481676739103
LU,1990,2020,149027,281325,5974,138272,92.78318693927946
LU,1991,2021,150592,285702,5867,140977,93.61519868253293
LU,1992,2022,151754,289768,5751,143765,94.7355588650052
LU,1993,2023,153341,296135,5620,148414,96.78689978544551
LU,1994,2024,154529,300547,5446,151464,98.01655352716966
LU,1995,2025,155766,304174,5303,153711,98.68071337775895
