geo,start_year,end_year,pop_start_0_29,pop_end_30_59,deaths,migration,migration_pct
LV,1977,2007,1075414,904568,104592,-66254,-6.160790170111231
PL,1992,2022,17490191,15706040,707574,-1076577,-6.155318715501735
PL,1991,2021,17523349,15734464,715513,-1073372,-6.125381626537256
PL,1993,2023,17444115,15680030,695661,-1068424,-6.124839236613608
PL,1994,2024,17389390,15649890,681994,-1057506,-6.081328902278918
PL,1995,2025,17332242,15627855,670494,-1033893,-5.965142882265318
BG,1961,1991,3875768,3451048,210487,-214233,-5.5274980339380475
EE,1993,2023,634618,569721,30570,-34327,-5.409080738333927
LV,1976,2006,1066825,906952,104173,-55700,-5.221099992969794
RO,1971,2001,9885315,8738431,655922,-490962,-4.966579213712461
RO,1970,2000,9784385,8649141,657936,-477308,-4.878262660351162
RO,1969,1999,9665356,8553078,661976,-450302,-4.65892823813215
IS,1970,2000,117334,108543,3401,-5390,-4.593723899296027
BG,1960,1990,3879587,3495423,211668,-172496,-4.44624646901848
PL,1990,2020,17599500,16134080,732835,-732585,-4.162533026506435
LV,1975,2005,1052745,907948,104335,-40462,-3.843475865475495
PT,1985,2015,4819301,4458402,197388,-163511,-3.392836430013398
PT,1986,2016,4774391,4424020,192035,-158336,-3.3163601389161466
SK,1980,2010,2588022,2379366,129674,-78982,-3.0518287711619143
IS,1971,2001,117749,110763,3403,-3583,-3.0429133156120223
HU,1960,1990,4684403,4218629,324960,-140814,-3.006018056089538
PT,1987,2017,4716637,4388683,187463,-140491,-2.9786265086755668
IS,1973,2003,121431,114454,3405,-3572,-2.941588227058988
HU,1961,1991,4666346,4206324,326692,-133330,-2.857267763684905
PT,1984,2014,4828302,4490332,201375,-136595,-2.8290483900965597
HU,1962,1992,4653704,4195170,330612,-127922,-2.74882115407426
IS,1974,2004,122821,116150,3361,-3310,-2.6949788716913234
SK,1981,2011,2584825,2388098,127097,-69630,-2.6937993868056833
IS,1972,2002,119358,112846,3363,-3149,-2.638281472544781
HU,1963,1993,4629178,4172422,335981,-120775,-2.6089945126326963
SK,1982,2012,2584127,2394691,123983,-65453,-2.5328863480780934
HU,1964,1994,4610454,4153192,342488,-114774,-2.489429457489436
IS,1975,2005,124102,117814,3328,-2960,-2.3851348084640054
SK,1983,2013,2582194,2400066,120637,-61491,-2.3813470250492412
HU,1965,1995,4595525,4137577,348836,-109112,-2.3743097905027173
PT,1983,2013,4840209,4520142,205247,-114820,-2.3722116131762077
SK,1984,2014,2580081,2402932,117186,-59963,-2.324074321697652
HU,1966,1996,4583492,4126329,354540,-102623,-2.2389697636649086
SK,1985,2015,2576675,2405613,113827,-57235,-2.2212735405124824
HU,1967,1997,4581502,4125188,358337,-97977,-2.138534480613563
SK,1986,2016,2571885,2407330,110546,-54009,-2.0999772540374084
PT,1988,2018,4630137,4352172,182123,-95842,-2.069960348905443
HU,1968,1998,4589938,4134684,361482,-93772,-2.0429905589138677
LV,1974,2004,1038533,912798,105081,-20654,-1.9887668470814122
SK,1987,2017,2563559,2406473,106989,-50097,-1.9541972702793267
HU,1970,2000,4613755,4157617,368198,-87940,-1.9060396575024032
HU,1969,1999,4598916,4146833,364919,-87164,-1.8953162006003155
SK,1988,2018,2554566,2404969,103409,-46188,-1.8080566327117797
HU,1973,2003,4608290,4162820,364247,-81223,-1.7625409859188548
HU,1971,2001,4611208,4163813,367321,-80074,-1.7365080907215638
EE,1994,2024,613043,573065,29374,-10604,-1.7297318458900928
HU,1972,2002,4612873,4167149,366055,-79669,-1.7271015265323801
HU,1974,2004,4610314,4169894,362612,-77808,-1.6876941570574153
SK,1989,2019,2548171,2405275,100540,-42356,-1.6622118374316324
PT,1982,2012,4833250,4546173,208825,-78252,-1.6190348109450166
HU,1975,2005,4628701,4197541,358141,-73019,-1.5775268266409948
CZ,1962,1992,4354021,4058371,227114,-68536,-1.5740851961899127
CZ,1964,1994,4390609,4096038,225885,-68686,-1.564384348503818
SK,1990,2020,2543683,2406235,98147,-39301,-1.5450431519965342
CZ,1961,1991,4354746,4059396,228143,-67207,-1.543304707094283
CZ,1963,1993,4360169,4067207,226449,-66513,-1.5254683935416264
CZ,1965,1995,4428565,4135095,226246,-67224,-1.517963493817975
HU,1976,2006,4674206,4245732,357947,-70527,-1.5088551938018993
CZ,1966,1996,4461784,4169887,227344,-64553,-1.446797962429378
SK,1991,2021,2538451,2406828,96107,-35516,-1.3991209599870156
CZ,1967,1997,4490961,4201044,228523,-61394,-1.3670570730852483
HU,1977,2007,4710576,4291711,357338,-61527,-1.3061459999796203
CZ,1968,1998,4515848,4230950,230320,-54578,-1.2085880658516406
CZ,1960,1990,4375670,4093432,229382,-52856,-1.2079521536130466
PT,1989,2019,4546611,4316750,176404,-53457,-1.1757548644473874
HU,1978,2008,4720509,4312564,352848,-55097,-1.1671834541571682
CZ,1969,1999,4534406,4255634,230965,-47807,-1.0543167065322336
SK,1995,2025,2491272,2377742,91056,-22474,-0.9021094444926125
HU,1979,2009,4715183,4328021,345381,-41781,-0.8860949829518812
CZ,1970,2000,4554513,4283707,231258,-39548,-0.8683255487469242
PT,1980,2010,4806530,4552194,214175,-40161,-0.8355508027620757
SK,1994,2024,2504362,2391147,93019,-20196,-0.8064329358135924
SK,1992,2022,2517678,2402417,96282,-18979,-0.7538295206932737
SK,1993,2023,2511276,2398429,94914,-17933,-0.714099127296243
PT,1981,2011,4809400,4566504,211828,-31068,-0.6459849461471285
HU,1980,2010,4697133,4331119,336579,-29435,-0.626658857647846
HU,1981,2011,4667964,4323828,325537,-18599,-0.39843923389297775
IS,1976,2006,124962,121214,3301,-447,-0.35770874345801124
LV,1973,2003,1025627,918568,106015,-1044,-0.10179139199728555
HU,1987,2017,4337419,4103973,231154,-2292,-0.05284248535822802
HU,1988,2018,4304786,4088078,218781,2073,0.048155703907232554
HU,1985,2015,4456353,4194754,265547,3948,0.0885926227118902
HU,1986,2016,4390325,4147131,247586,4392,0.1000381520730242
HU,1984,2014,4537706,4257124,285724,5142,0.1133171695125246
HU,1982,2012,4637075,4330078,314112,7115,0.15343724222705046
CZ,1972,2002,4529012,4308489,229045,8522,0.1881646593120089
HU,1983,2013,4600113,4307356,302226,9469,0.20584276951457497
CZ,1973,2003,4554758,4336346,228082,9670,0.21230546167326564
EE,1995,2025,595269,568523,28170,1424,0.23921957971942098
PT,1990,2020,4452287,4296875,170303,14891,0.3344573249657985
CZ,1971,2001,4507940,4293292,230343,15695,0.34816346269027537
CZ,1974,2004,4582661,4373888,225339,16566,0.36149302774086933
HU,1989,2019,4277968,4086694,208103,16829,0.3933877018247916
CZ,1975,2005,4619130,4419624,222331,22825,0.49414067151173485
CZ,1976,2006,4660131,4479068,219975,38912,0.8349979861081158
CZ,1977,2007,4664953,4506131,213304,54482,1.1679002982452342
LV,1972,2002,1017648,925321,107575,15248,1.4983569957391947
PT,1991,2021,4355034,4269572,164941,79479,1.8249914926037316
CZ,1978,2008,4659385,4548099,206507,95221,2.0436388064090005
HU,1995,2025,4181182,4099458,172895,91171,2.1805078085574845
HU,1991,2021,4188542,4089995,190605,92058,2.1978530954207933
HU,1990,2020,4196348,4093401,198278,95331,2.2717610646209514
HU,1992,2022,4188266,4096458,187575,95767,2.286554865426408
HU,1993,2023,4191502,4104812,182840,96150,2.293927093438104
HU,1994,2024,4187404,4108084,177269,97949,2.3391342225397884
IS,1983,2013,127469,127615,3094,3240,2.541794475519538
CZ,1979,2009,4659603,4587102,200666,128165,2.7505562169137585
PT,1992,2022,4289629,4250526,159122,120019,2.7978876494913663
IS,1982,2012,126423,127051,3120,3748,2.9646504196230117
CZ,1980,2010,4661761,4605117,195559,138915,2.9798824950485447
IS,1984,2014,127953,128729,3068,3844,3.0042281150109806
IS,1977,2007,125118,125696,3308,3886,3.10586806055084
BE,1968,1998,4237480,4197261,174628,134409,3.1719087759706244
BE,1969,1999,4258064,4222122,174213,138271,3.24727387845744
LV,1971,2001,1014002,938217,109068,33283,3.2823406659947416
BE,1967,1997,4201477,4166570,174222,139315,3.315857732887744
BE,1970,2000,4283318,4251313,174414,142409,3.3247356371859382
BE,1966,1996,4157295,4126909,174026,143640,3.4551312812778496
CZ,1981,2011,4625620,4597379,189177,160936,3.4792308922911954
IS,1981,2011,125674,126946,3188,4460,3.548864522494709
CZ,1982,2012,4596369,4585261,182483,171375,3.728486551014507
IS,1985,2015,127825,129581,3038,4794,3.7504400547623704
BE,1971,2001,4298544,4289353,175481,166290,3.868519200920126
BE,1965,1995,4102802,4088968,173799,159965,3.8989207863309026
BE,1972,2002,4355586,4348027,177608,170049,3.9041589352156056
IS,1980,2010,125342,127047,3218,4923,3.9276539388233793
EL,1995,2025,4221237,4261662,126146,166571,3.946023404987685
CZ,1983,2013,4567069,4571220,176176,180327,3.948418559036441
CZ,1984,2014,4538463,4550771,169954,182262,4.015941079612195
BE,1973,2003,4396068,4395705,179114,178751,4.066156392485285
BE,1974,2004,4415146,4422629,179003,186486,4.223778783306373
BE,1975,2005,4428590,4440648,178030,190088,4.292291677486514
LV,1970,2000,1016211,949119,110838,43746,4.304814649713495
EL,1994,2024,4243532,4299264,128903,184635,4.350974612657569
CZ,1985,2015,4512923,4545458,164037,196572,4.355757897930011
PT,1993,2023,4236694,4270800,153119,187225,4.419129632680576
FX,1974,2004,25133804,25107120,1140610,1113926,4.431983316174504
BE,1964,1994,4037575,4042409,174132,178966,4.432512089558708
FX,1973,2003,24857099,24832859,1134404,1110164,4.466184891487137
FX,1972,2002,24523037,24502693,1124508,1104164,4.502558145632615
BE,1976,2006,4435679,4460390,177346,202057,4.5552665104936585
FX,1975,2005,25304628,25320923,1142083,1158378,4.577731788825348
CZ,1986,2016,4488103,4537728,158342,207967,4.6337394663179525
FX,1971,2001,24106526,24121342,1109278,1124094,4.663027762689655
BE,1962,1992,3949727,3959673,177143,187089,4.736757755662606
BE,1963,1993,3983648,3997883,175135,189370,4.753683056334294
FX,1976,2006,25412179,25477495,1144051,1209367,4.75900551463926
CZ,1991,2021,4408192,4475652,143731,211191,4.790875715032376
FX,1970,2000,23731867,23786840,1098845,1153818,4.861893082411089
FX,1969,1999,23442775,23495150,1094672,1147047,4.892965956462065
CZ,1987,2017,4464346,4532701,153002,221357,4.958329842713804
FX,1977,2007,25308954,25445898,1126183,1263127,4.990830517926581
IS,1986,2016,127070,130507,2997,6434,5.0633509089478235
FX,1968,1998,23184980,23282209,1091311,1188540,5.126336102079881
BE,1977,2007,4413097,4464961,174535,226399,5.130161426318071
BE,1960,1990,3880063,3896541,182583,199061,5.130354842176532
EL,1993,2023,4253936,4341925,131189,219178,5.152357722354075
SI,1988,2018,881735,896446,30827,45538,5.164590268051058
FX,1978,2008,25182722,25380489,1104720,1302487,5.172145409856806
BE,1961,1991,3905593,3928426,179405,202238,5.178163725713355
FX,1967,1997,22954710,23066983,1089188,1201461,5.234050005423724
SI,1987,2017,885497,900692,32126,47321,5.34400455337511
FX,1979,2009,25026162,25286310,1082588,1342736,5.365329290204387
CZ,1988,2018,4444920,4535665,148307,239052,5.378094543883805
IS,1978,2008,124804,128240,3287,6723,5.386846575430275
CZ,1992,2022,4408960,4501800,144971,237811,5.393811692553346
FX,1966,1996,22691355,22836537,1085843,1231025,5.425083693767957
FX,1980,2010,24900961,25203693,1060602,1363334,5.4750256425846375
IS,1979,2009,124869,128570,3226,6927,5.547413689546645
FX,1965,1995,22435200,22598405,1083076,1246281,5.5550251390671805
FX,1981,2011,24826390,25171449,1036270,1381329,5.563954324410436
BE,1978,2008,4402619,4478545,171882,247808,5.628649674205286
FX,1982,2012,24790386,25190189,1014220,1414023,5.703916832920633
FX,1983,2013,24761838,25191530,989567,1419259,5.731638337994134
FX,1964,1994,22145587,22359978,1084536,1298927,5.865398826411782
CZ,1989,2019,4439165,4556778,145670,263283,5.9309126829032035
SI,1989,2019,876521,899232,29662,52373,5.9750992845579285
FI,1985,2015,2074116,2120294,79441,125619,6.056507929161146
EL,1992,2022,4261330,4386781,133250,258701,6.0708980529552985
PT,1994,2024,4193874,4305400,147149,258675,6.16792493050578
FX,1963,1993,21837074,22114861,1087659,1365446,6.252879850111786
FI,1986,2016,2056514,2113607,76501,133594,6.496138611261582
SI,1986,2016,882440,906272,33562,57394,6.504011604188387
CZ,1990,2020,4440039,4587586,144134,291681,6.569334188280779
SI,1985,2015,886690,911135,35110,59555,6.716552571924798
BE,1979,2009,4367799,4491827,169634,293662,6.7233405200193515
SI,1984,2014,890861,915385,36732,61256,6.876044635470629
SI,1990,2020,869221,900614,28399,59792,6.8788029741573204
FI,1987,2017,2035870,2105890,73622,143642,7.055558557275268
SI,1983,2013,894399,919317,38310,63228,7.069328118658451
IS,1987,2017,126441,132605,2963,9127,7.21838644110692
SE,1971,2001,3525292,3661170,119520,255398,7.2447332022425375
SI,1982,2012,895652,922157,39883,66388,7.4122538664570605
EL,1991,2021,4251458,4433660,133506,315708,7.425876017121656
FI,1988,2018,2016992,2098024,70897,151929,7.53245426853453
SI,1991,2021,861849,900449,27499,66099,7.66944093454886
SE,1972,2002,3532636,3686098,118619,272081,7.701925700808123
BE,1980,2010,4344997,4512581,167516,335100,7.712318328413115
PT,1995,2025,4149729,4334470,140999,325740,7.849669219363481
AT,1970,2000,3368762,3481244,152915,265397,7.87817601837114
SE,1970,2000,3482396,3637585,119981,275170,7.901743512225491
FI,1989,2019,2005674,2096872,68694,159892,7.9719834828591285
NL,1985,2015,6553891,6899092,181667,526868,8.039010718975948
AT,1974,2004,3399737,3539211,138615,278089,8.179720960768435
SI,1992,2022,849277,892545,26511,69779,8.21628279112704
AT,1973,2003,3385062,3521701,141717,278356,8.223069474059855
AT,1971,2001,3355491,3483534,148417,276460,8.239032678079006
FX,1962,1992,21251718,21914673,1096407,1759362,8.278681281202772
AT,1972,2002,3362814,3501418,144088,282692,8.406412010893257
NL,1986,2016,6513208,6884613,177758,549163,8.43152867219963
FI,1990,2020,1994884,2097063,66316,168495,8.44635577808033
SE,1973,2003,3517339,3699311,116799,298771,8.494233851215364
ES,1975,2005,17774530,18670450,631364,1527284,8.592542250062309
SE,1968,1998,3420914,3593899,121819,294804,8.61769690790239
CZ,1993,2023,4403711,4640914,144137,381340,8.659514668423972
SE,1969,1999,3441824,3620257,121087,299520,8.702362468272637
NL,1987,2017,6479453,6880002,173787,574336,8.863958114982855
FI,1991,2021,1988015,2100111,64320,176416,8.873977309024328
NL,1988,2018,6451618,6876636,169477,594495,9.214665220414474
FI,1992,2022,1984539,2105417,62574,183452,9.244061215224292
SE,1974,2004,3490763,3700084,113873,323194,9.25854891896127
DK,1985,2015,2110592,2232820,73544,195772,9.275691370004244
AT,1975,2005,3381149,3561034,135678,315563,9.333010760543235
EL,1990,2020,4220661,4478739,135916,393994,9.334888539970398
SI,1993,2023,835360,888897,25502,79039,9.461669220455851
BE,1981,2011,4319963,4565768,164842,410647,9.505799008000764
SE,1975,2005,3469694,3692264,110572,333142,9.601480706944185
NL,1989,2019,6415697,6877694,165565,627562,9.781665187741877
SE,1976,2006,3447305,3678608,107102,338405,9.816508838063356
EL,1989,2019,4238809,4517878,138178,417247,9.843496132993963
CZ,1994,2024,4379873,4670227,142135,432489,9.874464396570403
DK,1986,2016,2096611,2236000,70900,210289,10.02994833090163
